Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
1,Brenden Aaronson,MF,us United States,21,2000,1.2,3,2.50,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Ali Abdi,DF,tn Tunisia,28,1993,2.1,3,1.44,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Salis Abdul Samed,MF,gh Ghana,22,2000,2.8,4,1.44,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Saud Abdulhamid,"DF,MF",sa Saudi Arabia,22,1999,3.0,8,2.67,6,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
5,Nawaf Al Abed,MF,sa Saudi Arabia,32,1990,1.0,3,3.10,1,1,0,1,0,0,1,1.03,0,0,0,1,0,0,Matches
6,Pape Abou Cissé,DF,sn Senegal,26,1995,1.2,1,0.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Vincent Aboubakar,FW,cm Cameroon,30,1992,1.6,7,4.44,2,0,4,1,0,0,2,1.27,1,0,1,0,0,0,Matches
8,Abdulrahman Al-Aboud,"MF,DF",sa Saudi Arabia,27,1995,0.4,1,2.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Zakaria Aboukhlal,"FW,MF",ma Morocco,22,2000,0.9,1,1.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
10,Kellyn Acosta,MF,us United States,26,1995,0.5,1,2.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Marcos Acuña,"DF,FW",ar Argentina,30,1991,4.1,7,1.84,4,2,0,0,1,0,1,0.26,0,0,0,0,1,0,Matches
12,Tyler Adams,MF,us United States,23,1999,4.0,3,0.75,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Sam Adekugbe,DF,ca Canada,27,1995,1.1,2,1.89,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Michel Aebischer,"MF,FW",ch Switzerland,25,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Akram Afif,FW,qa Qatar,25,1996,3.0,7,2.33,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
16,Nayef Aguerd,DF,ma Morocco,26,1996,3.9,3,0.76,3,0,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
17,Brandon Aguilera,MF,cr Costa Rica,18,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Homam Ahmed,DF,qa Qatar,22,1999,2.9,3,1.03,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Manuel Akanji,DF,ch Switzerland,26,1995,4.0,2,0.50,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Nathan Aké,DF,nl Netherlands,27,1995,5.3,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Ahmed Alaaeldin,FW,qa Qatar,29,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Jordi Alba,DF,es Spain,33,1989,2.9,11,3.75,9,1,0,0,1,0,4,1.36,3,0,0,0,1,0,Matches
23,Toby Alderweireld,DF,be Belgium,33,1989,3.0,3,1.00,3,0,0,0,0,0,1,0.33,1,0,0,0,0,0,Matches
24,Trent Alexander-Arnold,DF,eng England,23,1998,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
25,Almoez Ali,FW,qa Qatar,25,1996,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
26,Alisson,GK,br Brazil,29,1992,4.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
27,Joe Allen,MF,wls Wales,32,1990,1.0,1,0.96,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
28,Thiago Almada,MF,ar Argentina,21,2001,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
29,Roberto Alvarado,FW,mx Mexico,23,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Edson Álvarez,MF,mx Mexico,24,1997,1.9,4,2.06,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Julián Álvarez,FW,ar Argentina,22,2000,5.2,10,1.94,7,0,0,2,1,0,2,0.39,1,0,0,0,1,0,Matches
32,Kevin Álvarez,DF,mx Mexico,23,1999,0.8,1,1.29,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
33,Dani Alves,DF,br Brazil,39,1983,1.3,4,3.05,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
34,Selim Amallah,MF,ma Morocco,25,1996,4.5,8,1.76,6,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
35,Daniel Amartey,DF,gh Ghana,27,1994,2.8,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,Ethan Ampadu,"MF,DF",wls Wales,21,2000,2.8,4,1.41,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
37,Sofyan Amrabat,MF,ma Morocco,25,1996,7.3,6,0.86,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
38,Abdulelah Al-Amri,DF,sa Saudi Arabia,25,1997,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
39,Joachim Andersen,DF,dk Denmark,26,1996,3.0,5,1.67,4,0,0,1,0,0,1,0.33,0,0,0,1,0,0,Matches
40,Karim Ansarifard,"FW,MF",ir IR Iran,32,1990,0.4,3,7.50,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
41,Antony,FW,br Brazil,22,2000,1.9,7,4.44,5,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
42,Uriel Antuna,"FW,MF",mx Mexico,24,1997,0.9,1,1.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,Néstor Araujo,DF,mx Mexico,30,1991,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,Takuma Asano,FW,jp Japan,27,1994,1.8,3,2.00,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Marco Asensio,FW,es Spain,26,1996,2.5,2,0.79,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
46,Ali Assadalla,MF,qa Qatar,29,1993,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
47,Lawrence Ati-Zigi,GK,gh Ghana,25,1996,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Nathaniel Atkinson,DF,au Australia,23,1999,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,Yahya Attiat Allah,DF,ma Morocco,27,1995,3.5,7,2.18,6,0,0,0,1,0,2,0.62,1,0,0,0,1,0,Matches
50,André Ayew,"MF,FW",gh Ghana,32,1989,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,Jordan Ayew,FW,gh Ghana,30,1991,1.5,7,4.63,3,2,0,1,1,0,2,1.32,1,0,0,0,1,0,Matches
52,Sardar Azmoun,FW,ir IR Iran,27,1995,1.4,3,2.14,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
53,César Azpilicueta,DF,es Spain,32,1989,1.5,4,2.67,4,0,0,0,0,0,1,0.67,1,0,0,0,0,0,Matches
54,Srđan Babić,DF,rs Serbia,26,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
55,Keanu Baccus,MF,au Australia,24,1998,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Alexander Bah,DF,dk Denmark,24,1997,0.5,4,7.83,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
57,Hattan Bahebri,MF,sa Saudi Arabia,29,1992,0.0,1,22.50,1,0,0,0,0,0,1,22.50,1,0,0,0,0,0,Matches
