Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
1,Brenden Aaronson,MF,us United States,21,2000,1.2,41,50,82.0,566,125,24,27,88.9,14,15,93.3,0,2,0.0,0,0.2,0.1,-0.2,3,3,3,0,5,Matches
2,Ali Abdi,DF,tn Tunisia,28,1993,2.1,72,116,62.1,1451,630,25,31,80.6,38,57,66.7,9,22,40.9,0,0.0,0.1,0.0,1,4,2,0,6,Matches
3,Salis Abdul Samed,MF,gh Ghana,22,2000,2.8,129,145,89.0,2046,466,70,70,100.0,49,54,90.7,9,15,60.0,0,0.0,0.1,0.0,1,11,0,0,2,Matches
4,Saud Abdulhamid,"DF,MF",sa Saudi Arabia,22,1999,3.0,88,122,72.1,1395,541,40,46,87.0,38,54,70.4,6,11,54.5,0,0.0,0.1,0.0,2,9,4,1,11,Matches
5,Nawaf Al Abed,MF,sa Saudi Arabia,32,1990,1.0,33,39,84.6,458,60,23,24,95.8,7,10,70.0,1,2,50.0,0,0.1,0.0,-0.1,1,2,0,0,0,Matches
6,Pape Abou Cissé,DF,sn Senegal,26,1995,1.2,28,37,75.7,666,282,8,9,88.9,14,16,87.5,6,12,50.0,0,0.0,0.0,0.0,0,2,0,0,0,Matches
7,Vincent Aboubakar,FW,cm Cameroon,30,1992,1.6,20,31,64.5,343,53,9,13,69.2,7,13,53.8,3,3,100.0,1,0.6,0.3,+0.4,2,2,0,0,2,Matches
8,Abdulrahman Al-Aboud,"MF,DF",sa Saudi Arabia,27,1995,0.4,8,13,61.5,79,19,5,5,100.0,2,5,40.0,0,0,,0,0.0,0.0,0.0,1,0,1,0,1,Matches
9,Zakaria Aboukhlal,"FW,MF",ma Morocco,22,2000,0.9,7,14,50.0,88,22,5,8,62.5,1,3,33.3,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
10,Kellyn Acosta,MF,us United States,26,1995,0.5,10,12,83.3,165,29,3,4,75.0,7,7,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
11,Marcos Acuña,"DF,FW",ar Argentina,30,1991,4.1,167,217,77.0,2683,679,97,113,85.8,60,73,82.2,9,21,42.9,0,0.3,0.4,-0.3,5,9,2,0,9,Matches
12,Tyler Adams,MF,us United States,23,1999,4.0,241,271,88.9,4348,1095,111,121,91.7,103,110,93.6,24,27,88.9,0,0.4,0.4,-0.4,2,23,3,0,17,Matches
13,Sam Adekugbe,DF,ca Canada,27,1995,1.1,63,71,88.7,1003,311,31,33,93.9,27,28,96.4,4,7,57.1,0,0.1,0.1,-0.1,1,4,2,2,4,Matches
14,Michel Aebischer,"MF,FW",ch Switzerland,25,1997,0.2,2,4,50.0,23,0,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
15,Akram Afif,FW,qa Qatar,25,1996,3.0,139,165,84.2,2502,645,45,50,90.0,60,66,90.9,21,28,75.0,0,0.3,0.3,-0.3,5,10,4,1,7,Matches
16,Nayef Aguerd,DF,ma Morocco,26,1996,3.9,137,158,86.7,2659,996,53,57,93.0,64,68,94.1,20,31,64.5,0,0.0,0.0,0.0,1,3,0,0,3,Matches
17,Brandon Aguilera,MF,cr Costa Rica,18,2003,1.0,27,38,71.1,398,134,12,16,75.0,13,13,100.0,1,4,25.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
18,Homam Ahmed,DF,qa Qatar,22,1999,2.9,77,105,73.3,1196,182,45,52,86.5,24,31,77.4,5,10,50.0,0,0.0,0.0,0.0,2,1,0,0,2,Matches
19,Manuel Akanji,DF,ch Switzerland,26,1995,4.0,229,259,88.4,4725,1829,71,78,91.0,124,134,92.5,32,42,76.2,0,0.1,0.1,-0.1,1,15,0,0,14,Matches
20,Nathan Aké,DF,nl Netherlands,27,1995,5.3,315,349,90.3,5204,1703,154,165,93.3,138,144,95.8,20,33,60.6,0,0.0,0.1,0.0,0,29,1,0,19,Matches
21,Ahmed Alaaeldin,FW,qa Qatar,29,1993,0.1,0,2,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
22,Jordi Alba,DF,es Spain,33,1989,2.9,328,372,88.2,5403,1384,160,174,92.0,144,157,91.7,20,28,71.4,2,0.9,0.7,+1.1,5,33,7,2,23,Matches
23,Toby Alderweireld,DF,be Belgium,33,1989,3.0,248,273,90.8,5259,1904,58,60,96.7,166,172,96.5,24,39,61.5,1,0.3,0.4,+0.7,1,17,2,0,10,Matches
24,Trent Alexander-Arnold,DF,eng England,23,1998,0.4,21,23,91.3,361,167,8,8,100.0,13,13,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,3,Matches
25,Almoez Ali,FW,qa Qatar,25,1996,2.5,33,45,73.3,493,32,17,21,81.0,10,15,66.7,3,3,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
26,Alisson,GK,br Brazil,29,1992,4.2,80,93,86.0,1590,999,31,31,100.0,39,41,95.1,10,20,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
27,Joe Allen,MF,wls Wales,32,1990,1.0,30,36,83.3,465,78,16,18,88.9,13,16,81.3,1,1,100.0,0,0.1,0.0,-0.1,1,2,0,0,1,Matches
28,Thiago Almada,MF,ar Argentina,21,2001,0.1,13,13,100.0,207,26,5,5,100.0,7,7,100.0,0,0,,0,0.2,0.1,-0.2,1,0,1,0,1,Matches
29,Roberto Alvarado,FW,mx Mexico,23,1998,0.2,5,10,50.0,50,5,4,6,66.7,1,4,25.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
30,Edson Álvarez,MF,mx Mexico,24,1997,1.9,86,114,75.4,1297,375,48,55,87.3,32,42,76.2,4,13,30.8,0,0.2,0.4,-0.2,1,3,1,0,2,Matches
31,Julián Álvarez,FW,ar Argentina,22,2000,5.2,93,121,76.9,1169,132,61,72,84.7,18,25,72.0,5,6,83.3,0,0.1,0.7,-0.1,2,2,2,1,3,Matches
