Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Brenden Aaronson,MF,us United States,21,2000,1.2,50,46,4,0,0,0,3,1,3,2,1,0,41,0,3,Matches
2,Ali Abdi,DF,tn Tunisia,28,1993,2.1,116,87,28,0,0,0,5,27,1,1,0,0,72,1,5,Matches
3,Salis Abdul Samed,MF,gh Ghana,22,2000,2.8,145,141,3,3,0,0,2,0,0,0,0,0,129,1,0,Matches
4,Saud Abdulhamid,"DF,MF",sa Saudi Arabia,22,1999,3.0,122,94,28,2,0,1,9,26,0,0,0,0,88,0,3,Matches
5,Nawaf Al Abed,MF,sa Saudi Arabia,32,1990,1.0,39,36,3,1,0,1,2,0,2,0,1,0,33,0,0,Matches
6,Pape Abou Cissé,DF,sn Senegal,26,1995,1.2,37,36,1,1,0,1,0,0,0,0,0,0,28,0,0,Matches
7,Vincent Aboubakar,FW,cm Cameroon,30,1992,1.6,31,31,0,0,1,0,0,0,0,0,0,0,20,0,1,Matches
8,Abdulrahman Al-Aboud,"MF,DF",sa Saudi Arabia,27,1995,0.4,13,13,0,0,0,0,2,0,0,0,0,0,8,0,2,Matches
9,Zakaria Aboukhlal,"FW,MF",ma Morocco,22,2000,0.9,14,13,1,0,0,0,1,1,0,0,0,0,7,0,1,Matches
10,Kellyn Acosta,MF,us United States,26,1995,0.5,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
11,Marcos Acuña,"DF,FW",ar Argentina,30,1991,4.1,217,182,34,4,1,2,17,26,4,0,4,0,167,1,6,Matches
12,Tyler Adams,MF,us United States,23,1999,4.0,271,255,14,11,1,4,2,3,0,0,0,0,241,2,4,Matches
13,Sam Adekugbe,DF,ca Canada,27,1995,1.1,71,62,9,1,0,0,5,8,0,0,0,0,63,0,2,Matches
14,Michel Aebischer,"MF,FW",ch Switzerland,25,1997,0.2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
15,Akram Afif,FW,qa Qatar,25,1996,3.0,165,142,22,8,1,2,13,2,6,4,1,0,139,1,4,Matches
16,Nayef Aguerd,DF,ma Morocco,26,1996,3.9,158,148,10,9,0,2,0,0,0,0,0,0,137,0,1,Matches
17,Brandon Aguilera,MF,cr Costa Rica,18,2003,1.0,38,35,2,2,0,1,1,0,0,0,0,0,27,1,2,Matches
18,Homam Ahmed,DF,qa Qatar,22,1999,2.9,105,81,23,1,0,2,5,22,0,0,0,0,77,1,6,Matches
19,Manuel Akanji,DF,ch Switzerland,26,1995,4.0,259,246,12,9,0,6,1,1,0,0,0,0,229,1,1,Matches
20,Nathan Aké,DF,nl Netherlands,27,1995,5.3,349,334,15,4,0,2,0,11,0,0,0,0,315,0,1,Matches
21,Ahmed Alaaeldin,FW,qa Qatar,29,1993,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,Matches
22,Jordi Alba,DF,es Spain,33,1989,2.9,372,330,40,6,2,0,14,34,0,0,0,0,328,2,6,Matches
23,Toby Alderweireld,DF,be Belgium,33,1989,3.0,273,270,3,3,2,2,2,0,0,0,0,0,248,0,2,Matches
24,Trent Alexander-Arnold,DF,eng England,23,1998,0.4,23,20,2,1,0,0,0,1,0,0,0,0,21,1,0,Matches
25,Almoez Ali,FW,qa Qatar,25,1996,2.5,45,42,3,0,0,0,0,0,0,0,0,0,33,0,1,Matches
26,Alisson,GK,br Brazil,29,1992,4.2,93,65,28,9,0,0,0,0,0,0,0,0,80,0,1,Matches
27,Joe Allen,MF,wls Wales,32,1990,1.0,36,34,2,2,0,0,0,0,0,0,0,0,30,0,1,Matches
28,Thiago Almada,MF,ar Argentina,21,2001,0.1,13,13,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
29,Roberto Alvarado,FW,mx Mexico,23,1998,0.2,10,9,1,0,0,0,2,1,0,0,0,0,5,0,0,Matches
30,Edson Álvarez,MF,mx Mexico,24,1997,1.9,114,111,3,3,1,0,0,0,0,0,0,0,86,0,1,Matches
31,Julián Álvarez,FW,ar Argentina,22,2000,5.2,121,117,4,0,2,1,3,2,0,0,0,0,93,0,5,Matches
32,Kevin Álvarez,DF,mx Mexico,23,1999,0.8,29,20,9,0,0,0,1,9,0,0,0,0,19,0,1,Matches
33,Dani Alves,DF,br Brazil,39,1983,1.3,97,82,15,4,0,0,6,11,0,0,0,0,83,0,0,Matches
34,Selim Amallah,MF,ma Morocco,25,1996,4.5,87,85,2,1,0,0,2,0,0,0,0,0,65,0,2,Matches
35,Daniel Amartey,DF,gh Ghana,27,1994,2.8,141,136,5,5,0,1,0,0,0,0,0,0,128,0,3,Matches
36,Ethan Ampadu,"MF,DF",wls Wales,21,2000,2.8,144,134,9,4,1,2,2,5,0,0,0,0,108,1,5,Matches
37,Sofyan Amrabat,MF,ma Morocco,25,1996,7.3,322,307,10,8,0,5,2,1,0,0,0,0,269,5,2,Matches
38,Abdulelah Al-Amri,DF,sa Saudi Arabia,25,1997,2.0,104,99,5,4,0,6,1,1,0,0,0,0,74,0,1,Matches
39,Joachim Andersen,DF,dk Denmark,26,1996,3.0,250,246,3,3,0,8,1,0,0,0,0,0,198,1,2,Matches
40,Karim Ansarifard,"FW,MF",ir IR Iran,32,1990,0.4,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
41,Antony,FW,br Brazil,22,2000,1.9,109,100,9,1,0,0,10,0,8,4,0,0,86,0,1,Matches
42,Uriel Antuna,"FW,MF",mx Mexico,24,1997,0.9,20,19,1,0,0,0,7,1,0,0,0,0,12,0,3,Matches
43,Néstor Araujo,DF,mx Mexico,30,1991,1.0,53,48,5,0,0,0,2,5,0,0,0,0,44,0,1,Matches
44,Takuma Asano,FW,jp Japan,27,1994,1.8,28,28,0,0,0,0,1,0,0,0,0,0,21,0,0,Matches
45,Marco Asensio,FW,es Spain,26,1996,2.5,119,113,5,2,0,2,8,1,2,0,0,0,89,1,2,Matches
46,Ali Assadalla,MF,qa Qatar,29,1993,0.3,23,23,0,0,0,0,0,0,0,0,0,0,21,0,0,Matches
47,Lawrence Ati-Zigi,GK,gh Ghana,25,1996,3.0,78,39,39,8,0,0,0,0,0,0,0,0,54,0,0,Matches
48,Nathaniel Atkinson,DF,au Australia,23,1999,0.9,34,24,10,2,0,1,0,8,0,0,0,0,27,0,0,Matches
49,Yahya Attiat Allah,DF,ma Morocco,27,1995,3.5,137,110,27,2,0,0,8,25,0,0,0,0,98,0,4,Matches
50,André Ayew,"MF,FW",gh Ghana,32,1989,2.2,37,30,7,1,0,0,0,1,0,0,0,0,30,0,0,Matches
51,Jordan Ayew,FW,gh Ghana,30,1991,1.5,46,34,12,2,0,0,8,2,6,6,0,0,35,0,2,Matches
52,Sardar Azmoun,FW,ir IR Iran,27,1995,1.4,30,27,2,0,0,0,0,0,0,0,0,0,18,1,1,Matches
53,César Azpilicueta,DF,es Spain,32,1989,1.5,181,162,18,7,1,0,3,11,0,0,0,0,171,1,1,Matches
