Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Brenden Aaronson,MF,us United States,21,2000,4,108,27,30.0,1.2,0,,0,4,27,0,1.25,1,2,-1,-0.83,-0.83,0.9,2.7,-1.8,-1.51,-2.05,Matches
2,Ali Abdi,DF,tn Tunisia,28,1993,3,188,63,69.6,2.1,2,90,2,1,8,0,1.33,0,1,-1,-0.48,-1.58,1.8,2.3,-0.4,-0.21,-0.14,Matches
3,Salis Abdul Samed,MF,gh Ghana,22,2000,3,250,83,92.6,2.8,3,83,1,0,,0,1.00,5,7,-2,-0.72,-0.72,3.5,5.3,-1.8,-0.66,-2.41,Matches
4,Saud Abdulhamid,"DF,MF",sa Saudi Arabia,22,1999,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,5,-2,-0.67,,3.0,6.0,-3.0,-1.01,,Matches
5,Nawaf Al Abed,MF,sa Saudi Arabia,32,1990,2,88,44,32.6,1.0,0,,0,2,44,1,1.50,2,1,+1,+1.02,+2.51,0.9,2.3,-1.4,-1.45,-0.64,Matches
6,Amir Abedzadeh,GK,ir IR Iran,29,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
7,Pape Abou Cissé,DF,sn Senegal,26,1995,3,105,35,29.2,1.2,1,90,1,2,8,1,2.00,1,3,-2,-1.71,-1.71,1.1,0.9,+0.2,+0.18,-0.11,Matches
8,Vincent Aboubakar,FW,cm Cameroon,30,1992,3,142,47,52.6,1.6,1,89,0,2,27,0,1.33,3,0,+3,+1.90,+4.01,1.5,2.4,-0.9,-0.55,+0.49,Matches
9,Abdulrahman Al-Aboud,"MF,DF",sa Saudi Arabia,27,1995,2,35,18,13.0,0.4,0,,0,2,18,1,0.00,1,0,+1,+2.57,+3.72,0.8,0.9,-0.1,-0.18,+0.95,Matches
10,Zakaria Aboukhlal,"FW,MF",ma Morocco,22,2000,4,79,20,12.0,0.9,0,,0,4,20,3,2.25,2,1,+1,+1.14,+1.14,2.4,2.0,+0.4,+0.50,+0.69,Matches
11,Kellyn Acosta,MF,us United States,26,1995,2,43,22,11.9,0.5,0,,0,2,22,2,2.00,0,1,-1,-2.09,-2.09,0.4,1.1,-0.7,-1.57,-1.69,Matches
12,Marcos Acuña,"DF,FW",ar Argentina,30,1991,6,373,62,54.1,4.1,4,74,1,2,39,0,1.83,8,3,+5,+1.21,+0.64,6.7,3.0,+3.6,+0.95,-0.80,Matches
13,Tyler Adams,MF,us United States,23,1999,4,360,90,100.0,4.0,4,90,4,0,,0,1.25,3,4,-1,-0.25,,4.1,4.4,-0.3,-0.07,,Matches
14,Sam Adekugbe,DF,ca Canada,27,1995,3,95,32,35.2,1.1,1,59,0,2,18,0,0.00,1,3,-2,-1.89,-0.35,1.0,1.7,-0.8,-0.74,-1.31,Matches
15,Karim Adeyemi,FW,de Germany,20,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
16,Michel Aebischer,"MF,FW",ch Switzerland,25,1997,1,16,16,4.4,0.2,0,,0,1,16,3,0.00,0,1,-1,-5.63,-4.84,0.0,0.4,-0.4,-2.14,-2.32,Matches
17,Akram Afif,FW,qa Qatar,25,1996,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,1,7,-6,-2.00,,1.4,3.5,-2.1,-0.71,,Matches
18,Daniel Afriyie Barnieh,FW,gh Ghana,20,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
19,Nayef Aguerd,DF,ma Morocco,26,1996,4,353,88,53.5,3.9,4,88,3,0,,2,2.00,4,1,+3,+0.76,+1.35,2.6,3.2,-0.6,-0.14,-0.07,Matches
20,Brandon Aguilera,MF,cr Costa Rica,18,2003,3,90,30,33.3,1.0,1,45,0,2,23,0,1.00,1,4,-3,-3.00,-0.50,0.3,2.5,-2.2,-2.21,+1.04,Matches
21,Homam Ahmed,DF,qa Qatar,22,1999,3,262,87,97.0,2.9,3,87,2,0,,0,0.00,1,6,-5,-1.72,+9.53,1.3,3.3,-2.1,-0.72,-0.22,Matches
22,Joseph Aidoo,DF,gh Ghana,26,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
23,Manuel Akanji,DF,ch Switzerland,26,1995,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,9,-4,-1.00,,5.6,5.3,+0.3,+0.08,,Matches
24,Nathan Aké,DF,nl Netherlands,27,1995,5,479,96,99.8,5.3,5,96,4,0,,0,2.20,10,4,+6,+1.13,+1.13,4.6,6.0,-1.4,-0.28,-0.06,Matches
25,Ahmed Alaaeldin,FW,qa Qatar,29,1993,1,6,6,2.2,0.1,0,,0,1,6,2,0.00,0,0,0,0.00,+2.05,0.0,0.0,0.0,-0.07,+0.65,Matches
26,Jordi Alba,DF,es Spain,33,1989,4,264,66,67.7,2.9,3,80,0,1,23,0,1.25,5,0,+5,+1.70,+0.99,4.3,1.7,+2.5,+0.86,+0.70,Matches
27,Toby Alderweireld,DF,be Belgium,33,1989,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,2,-1,-0.33,,4.7,4.6,+0.2,+0.05,,Matches
28,Trent Alexander-Arnold,DF,eng England,23,1998,1,34,34,7.6,0.4,0,,0,1,34,4,3.00,1,0,+1,+2.65,+0.92,1.2,0.2,+1.0,+2.58,+1.80,Matches
29,Almoez Ali,FW,qa Qatar,25,1996,3,224,75,83.0,2.5,3,75,1,0,,0,0.00,1,7,-6,-2.41,-2.41,1.3,3.5,-2.1,-0.86,-0.88,Matches
30,Alisson,GK,br Brazil,29,1992,4,379,95,79.0,4.2,4,95,3,0,,1,2.50,8,2,+6,+1.42,+2.32,9.2,1.5,+7.7,+1.99,+0.48,Matches
31,Joe Allen,MF,wls Wales,32,1990,2,94,47,34.8,1.0,1,80,0,1,14,1,0.00,0,5,-5,-4.79,-4.79,0.4,2.6,-2.2,-2.06,-2.20,Matches
32,Thiago Almada,MF,ar Argentina,21,2001,1,7,7,1.0,0.1,0,,0,1,7,6,3.00,0,0,0,0.00,-0.92,0.5,0.0,+0.5,+6.09,+4.77,Matches
33,Esteban Alvarado,GK,cr Costa Rica,33,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
34,Roberto Alvarado,FW,mx Mexico,23,1998,1,18,18,6.7,0.2,0,,0,1,18,2,0.00,0,1,-1,-5.00,-5.00,0.0,0.0,0.0,-0.22,-0.55,Matches
35,Edson Álvarez,MF,mx Mexico,24,1997,2,175,88,64.8,1.9,2,88,1,0,,1,2.00,2,0,+2,+1.03,+3.87,2.9,1.4,+1.4,+0.74,+1.25,Matches
36,Julián Álvarez,FW,ar Argentina,22,2000,7,464,66,67.2,5.2,5,81,0,2,30,0,2.00,13,2,+11,+2.13,+3.73,10.4,2.0,+8.4,+1.63,+0.83,Matches
37,Kevin Álvarez,DF,mx Mexico,23,1999,2,70,35,25.9,0.8,1,65,0,1,5,1,1.50,0,2,-2,-2.57,-3.02,0.4,0.8,-0.4,-0.53,-1.12,Matches
38,Dani Alves,DF,br Brazil,39,1983,2,118,59,24.6,1.3,1,90,1,1,28,3,1.50,0,2,-2,-1.53,-3.27,2.7,0.7,+2.1,+1.58,-0.37,Matches
39,Selim Amallah,MF,ma Morocco,25,1996,7,409,58,62.0,4.5,4,75,1,3,36,0,1.57,1,0,+1,+0.22,+0.22,2.2,4.4,-2.2,-0.48,-0.98,Matches
40,Daniel Amartey,DF,gh Ghana,27,1994,3,251,84,93.0,2.8,3,84,2,0,,0,1.00,5,7,-2,-0.72,-0.72,4.1,5.6,-1.4,-0.48,,Matches
41,Vahid Amiri,"FW,MF",ir IR Iran,34,1988,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
42,Ethan Ampadu,"MF,DF",wls Wales,21,2000,3,255,85,94.4,2.8,3,85,1,0,,0,0.33,1,4,-3,-1.06,+10.94,2.5,4.1,-1.6,-0.57,+1.00,Matches
43,Sofyan Amrabat,MF,ma Morocco,25,1996,7,660,94,100.0,7.3,7,94,7,0,,0,1.57,6,5,+1,+0.14,,6.6,7.4,-0.8,-0.12,-0.12,Matches
44,Abdulelah Al-Amri,DF,sa Saudi Arabia,25,1997,3,182,61,67.4,2.0,2,90,2,1,2,0,1.00,1,4,-3,-1.48,-2.51,2.8,3.9,-1.1,-0.53,+1.49,Matches
45,Joachim Andersen,DF,dk Denmark,26,1996,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,2.7,3.9,-1.2,-0.39,,Matches
46,Karim Ansarifard,"FW,MF",ir IR Iran,32,1990,2,35,18,13.0,0.4,0,,0,2,18,1,1.50,2,0,+2,+5.14,+7.06,0.9,0.4,+0.5,+1.22,+1.77,Matches
47,Antony,FW,br Brazil,22,2000,4,172,43,35.8,1.9,1,78,0,3,31,1,1.75,2,1,+1,+0.52,-0.65,4.0,0.6,+3.4,+2.14,+0.41,Matches
48,Uriel Antuna,"FW,MF",mx Mexico,24,1997,3,77,26,28.5,0.9,0,,0,3,26,0,1.33,2,2,0,0.00,+0.47,1.4,1.1,+0.2,+0.29,-0.02,Matches
49,Nawaf Al Aqidi,GK,sa Saudi Arabia,22,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
50,Néstor Araujo,DF,mx Mexico,30,1991,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,2,-2,-2.00,-2.50,0.3,0.3,-0.1,-0.05,-0.53,Matches
51,Robert Arboleda,DF,ec Ecuador,30,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
52,Alphonse Areola,GK,fr France,29,1993,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
