Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
1,Brenden Aaronson,MF,us United States,21,2000,1.2,80,1,9,41,31,8,80,2,11,18.2,8,4,54,4,Matches
2,Ali Abdi,DF,tn Tunisia,28,1993,2.1,154,16,66,61,27,3,154,1,2,50.0,5,4,67,11,Matches
3,Salis Abdul Samed,MF,gh Ghana,22,2000,2.8,170,15,64,82,25,0,170,3,4,75.0,4,2,121,2,Matches
4,Saud Abdulhamid,"DF,MF",sa Saudi Arabia,22,1999,3.0,154,11,37,61,57,5,154,2,4,50.0,4,1,75,10,Matches
5,Nawaf Al Abed,MF,sa Saudi Arabia,32,1990,1.0,51,0,1,23,28,4,51,1,2,50.0,6,5,42,6,Matches
6,Pape Abou Cissé,DF,sn Senegal,26,1995,1.2,49,10,35,12,2,2,49,1,1,100.0,0,0,32,0,Matches
7,Vincent Aboubakar,FW,cm Cameroon,30,1992,1.6,48,5,7,19,22,7,48,5,7,71.4,3,0,34,9,Matches
8,Abdulrahman Al-Aboud,"MF,DF",sa Saudi Arabia,27,1995,0.4,23,0,3,5,15,2,23,0,3,0.0,2,0,13,4,Matches
9,Zakaria Aboukhlal,"FW,MF",ma Morocco,22,2000,0.9,26,2,3,10,13,4,26,0,1,0.0,3,0,16,0,Matches
10,Kellyn Acosta,MF,us United States,26,1995,0.5,16,0,3,8,5,0,16,0,0,,0,0,10,2,Matches
11,Marcos Acuña,"DF,FW",ar Argentina,30,1991,4.1,271,5,71,102,101,10,271,2,8,25.0,7,4,163,15,Matches
12,Tyler Adams,MF,us United States,23,1999,4.0,308,8,67,206,36,0,308,1,1,100.0,4,3,193,2,Matches
13,Sam Adekugbe,DF,ca Canada,27,1995,1.1,77,2,9,48,20,0,77,1,1,100.0,1,0,59,2,Matches
14,Michel Aebischer,"MF,FW",ch Switzerland,25,1997,0.2,4,0,0,2,2,0,4,0,0,,0,0,4,1,Matches
15,Akram Afif,FW,qa Qatar,25,1996,3.0,182,1,11,122,50,2,182,3,7,42.9,5,5,143,10,Matches
16,Nayef Aguerd,DF,ma Morocco,26,1996,3.9,184,41,131,53,1,1,184,0,0,,1,0,118,0,Matches
17,Brandon Aguilera,MF,cr Costa Rica,18,2003,1.0,44,1,17,25,3,0,44,2,3,66.7,1,3,31,3,Matches
18,Homam Ahmed,DF,qa Qatar,22,1999,2.9,118,3,27,58,34,1,118,3,5,60.0,4,2,69,6,Matches
19,Manuel Akanji,DF,ch Switzerland,26,1995,4.0,290,41,143,137,11,6,290,0,0,,0,1,215,1,Matches
