RK,,Team,Total Points,Previous Points,+/-
1,Brazil,1840.77,1841.3,-0.53,
2,Argentina,1838.38,1773.88,64.50,
3,France,1823.39,1759.78,63.61,
4,Belgium,1781.3,1816.71,-35.41,
5,England,1774.19,1728.47,45.72,
6,Netherlands,1740.92,1694.51,46.41,
7,Croatia,1727.62,1645.64,81.98,
8,Italy,1723.56,1726.14,-2.58,
9,Portugal,1702.54,1676.56,25.98,
10,Spain,1692.71,1715.22,-22.51,
11,Morocco,1672.35,1563.5,108.85,
12,Switzerland,1655.02,1635.92,19.10,
13,USA,1652.74,1627.48,25.26,
14,Germany,1646.91,1650.21,-3.30,
15,Mexico,1635.78,1644.89,-9.11,
16,Uruguay,1627.45,1638.71,-11.26,
17,Colombia,1612.78,1611.04,1.74,
18,Denmark,1608.11,1666.57,-58.46,
19,Senegal,1603.98,1584.38,19.60,
20,Japan,1593.08,1559.54,33.54,
21,Peru,1564.3,1561.01,3.29,
22,Poland,1559.83,1548.59,11.24,
23,Sweden,1558.45,1553.33,5.12,
24,IR Iran,1551.73,1564.61,-12.88,
25,Korea Republic,1539.49,1530.3,9.19,
26,Ukraine,1536.99,1536.99,0.00,
27,Australia,1533.97,1488.72,45.25,
28,Wales,1530.28,1569.82,-39.54,
29,Serbia,1526.46,1563.62,-37.16,
30,Tunisia,1526.2,1507.54,18.66,
31,Chile,1506.91,1509.61,-2.70,
32,Costa Rica,1500.18,1503.59,-3.41,
33,Cameroon,1499.3,1471.44,27.86,
34,Austria,1497.24,1492.95,4.29,
35,Nigeria,1494.32,1498.47,-4.15,
36,Hungary,1493.33,1492.2,1.13,
37,Russia,1491.26,1496.11,-4.85,
38,Czechia,1490.61,1492.21,-1.60,
39,Egypt,1490.34,1486.44,3.90,
40,Algeria,1486.72,1489.1,-2.38,
41,Ecuador,1477.32,1464.39,12.93,
42,Scotland,1476.94,1479.53,-2.59,
43,Norway,1475.05,1473.04,2.01,
44,Türkiye,1465.38,1460.14,5.24,
45,Mali,1449.05,1448.85,0.20,
46,Paraguay,1445.06,1448.77,-3.71,
47,Côte d'Ivoire,1441.49,1443.06,-1.57,
48,Republic of Ireland,1438.59,1440.19,-1.60,
49,Saudi Arabia,1438.13,1437.78,0.35,
50,Burkina Faso,1434.81,1432.25,2.56,
51,Greece,1433.59,1437.6,-4.01,
52,Romania,1432.64,1434.68,-2.04,
53,Canada,1431.64,1475,-43.36,
54,Slovakia,1425.58,1425.59,-0.01,
55,Venezuela,1406.1,1404.37,1.73,
56,Finland,1405.71,1405.6,0.11,
57,Bosnia and Herzegovina,1403.51,1403.51,0.00,
58,Ghana,1400.02,1393,7.02,
59,Northern Ireland,1396.55,1396.55,0.00,
60,Qatar,1393.56,1439.89,-46.33,
61,Panama,1391.7,1393.28,-1.58,
62,Slovenia,1389.06,1384.04,5.02,
63,Iceland,1380.35,1384.41,-4.06,
64,Jamaica,1379.29,1378.86,0.43,
65,North Macedonia,1355.28,1358.51,-3.23,
66,Albania,1353.03,1354.11,-1.08,
67,South Africa,1350.36,1349.59,0.77,
68,Iraq,1342.39,1343.01,-0.62,
69,Montenegro,1339.15,1341.03,-1.88,
70,United Arab Emirates,1338.48,1337.57,0.91,
71,Bulgaria,1336.71,1335.36,1.35,
72,Cabo Verde,1336.05,1336.05,0.00,
73,Congo DR,1333.92,1333.92,0.00,
74,El Salvador,1326.86,1330.51,-3.65,
75,Oman,1321.24,1320.29,0.95,
76,Israel,1315.67,1316.55,-0.88,
77,Uzbekistan,1312.64,1309.98,2.66,
