Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
ar Argentina,1,7.7,8,2,0,0,1,5.4,0.27,-1.6,-0.2,15,78,19.2,147,34,38.8,34.3,39,53.8,45.9,88,12,13.6,5,0.65,12.8
au Australia,1,4.0,6,0,0,1,0,5.5,0.31,-0.5,-0.13,38,85,44.7,127,13,50.4,38.5,37,56.8,46.2,63,3,4.8,6,1.5,15.5
be Belgium,1,3.0,2,0,0,0,0,4.1,0.28,2.1,0.69,10,23,43.5,87,15,17.2,26.7,36,22.2,33.5,36,1,2.8,2,0.67,14.0
br Brazil,3,5.3,3,0,0,0,0,3.1,0.31,0.1,0.02,10,22,45.5,102,22,14.7,24.7,27,25.9,29.6,52,0,0.0,9,1.69,20.3
cm Cameroon,2,3.0,4,0,0,0,0,4.9,0.33,0.9,0.3,29,67,43.3,108,17,42.6,34.9,34,61.8,46.8,57,3,5.3,0,0.0,8.9
ca Canada,1,3.0,7,0,0,0,0,5.4,0.37,-1.6,-0.52,11,29,37.9,82,22,31.7,30.1,15,20.0,28.3,29,0,0.0,2,0.67,15.1
cr Costa Rica,1,3.0,11,1,0,0,0,9.6,0.39,-1.4,-0.46,20,58,34.5,68,14,50.0,41.7,33,72.7,52.0,51,2,3.9,2,0.67,9.9
hr Croatia,1,7.7,7,1,0,1,0,10.5,0.31,3.5,0.46,31,63,49.2,178,46,24.2,26.7,50,40.0,34.9,99,8,8.1,3,0.39,10.8
dk Denmark,1,3.0,3,0,0,0,0,3.7,0.34,0.7,0.24,9,24,37.5,71,12,26.8,30.2,16,31.3,35.8,38,0,0.0,5,1.67,19.2
ec Ecuador,1,3.0,3,1,0,0,0,2.1,0.27,-0.9,-0.31,11,40,27.5,53,6,47.2,38.3,21,71.4,52.0,26,1,3.8,2,0.67,13.0
eng England,1,5.0,4,1,0,1,0,2.5,0.24,-1.5,-0.3,20,51,39.2,123,14,27.6,29.2,36,47.2,45.9,39,2,5.1,5,1.0,16.2
fr France,2,7.3,8,3,0,1,0,9.2,0.24,1.2,0.16,35,112,31.3,147,28,48.3,39.1,65,63.1,47.6,89,8,9.0,5,0.68,13.4
de Germany,1,3.0,5,0,0,0,0,5.1,0.44,0.1,0.04,7,15,46.7,113,16,13.3,25.7,14,0.0,22.4,22,0,0.0,6,2.0,20.3
