Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
ar Argentina,24,7.7,17,0,0,100,115,23,94,52,69,5,2,1,357,83,90,48.0
au Australia,20,4.0,7,0,0,52,34,1,54,40,30,0,0,0,200,72,72,50.0
be Belgium,20,3.0,5,0,0,30,35,3,53,17,27,0,1,0,132,33,28,54.1
br Brazil,26,5.3,6,0,0,63,74,8,106,40,51,1,0,0,271,43,56,43.4
cm Cameroon,22,3.0,8,1,1,32,38,2,53,40,20,0,0,0,142,42,36,53.8
ca Canada,19,3.0,8,0,0,33,37,8,54,18,23,0,0,0,145,30,21,58.8
cr Costa Rica,22,3.0,6,0,0,24,37,13,21,31,35,0,1,0,142,38,30,55.9
hr Croatia,21,7.7,8,0,0,90,90,11,153,53,83,0,1,0,409,87,87,50.0
dk Denmark,20,3.0,5,0,0,28,23,5,67,23,27,0,0,0,171,51,48,51.5
ec Ecuador,18,3.0,3,0,0,50,37,8,57,28,30,1,1,0,135,50,49,50.5
eng England,20,5.0,1,0,0,53,65,5,82,38,44,2,1,0,227,60,66,47.6
fr France,24,7.3,8,0,0,69,85,16,132,76,88,1,4,0,364,106,78,57.6
de Germany,20,3.0,3,0,0,26,27,12,68,21,27,1,0,0,164,36,33,52.2
gh Ghana,20,3.0,8,0,0,46,38,4,49,19,34,1,1,0,146,36,62,36.7
ir IR Iran,21,3.0,7,0,0,38,26,6,48,42,29,1,0,0,178,43,49,46.7
jp Japan,22,4.3,6,0,0,58,36,9,55,34,38,0,1,0,220,59,76,43.7
kr Korea Republic,21,4.0,6,0,0,45,34,7,92,31,33,0,1,0,175,72,59,55.0
mx Mexico,21,3.0,7,0,0,51,48,13,79,25,27,0,1,0,151,48,51,48.5
ma Morocco,25,7.3,9,1,1,96,81,19,75,68,79,0,0,1,369,70,85,45.2
nl Netherlands,21,5.3,12,1,1,87,50,8,71,52,47,0,1,0,241,79,70,53.0
pl Poland,21,4.0,7,0,0,47,47,1,52,30,30,1,2,0,164,51,60,45.9
pt Portugal,24,5.0,6,0,0,55,65,14,102,35,44,1,0,0,256,66,53,55.5
qa Qatar,20,3.0,7,0,0,31,45,7,42,24,22,0,1,0,138,36,38,48.6
sa Saudi Arabia,23,3.0,14,0,0,56,38,3,39,31,23,1,1,0,132,45,49,47.9
sn Senegal,20,4.0,7,0,0,48,57,8,71,31,32,1,0,0,192,72,63,53.3
rs Serbia,22,3.0,12,0,0,43,28,4,56,22,22,0,0,0,161,43,38,53.1
es Spain,21,4.3,2,0,0,41,46,11,69,19,32,1,0,0,225,41,39,51.3
ch Switzerland,24,4.0,9,0,0,53,49,6,52,24,25,0,0,0,190,45,49,47.9
tn Tunisia,21,3.0,5,0,0,40,28,7,61,25,36,0,0,0,170,48,57,45.7
us United States,20,4.0,5,0,0,45,40,5,93,25,34,0,1,0,212,53,53,50.0
uy Uruguay,19,3.0,8,0,0,34,36,3,41,32,31,0,2,0,166,53,47,53.0
wls Wales,18,3.0,5,1,0,35,33,4,36,21,27,1,0,0,147,42,41,50.6
