Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog
ar Argentina,24,57.4,7.7,5410,353,1424,2728,1302,161,5405,45,118,38.1,99,81,3879,212
au Australia,20,37.8,4.0,2162,307,881,913,382,46,2162,13,46,28.3,61,36,1245,66
be Belgium,20,57.0,3.0,2199,253,838,1004,377,52,2199,19,45,42.2,47,24,1587,98
br Brazil,26,56.2,5.3,3803,254,944,1848,1036,166,3802,32,110,29.1,88,58,2722,184
cm Cameroon,22,41.7,3.0,1579,225,604,673,325,49,1579,24,55,43.6,39,24,949,60
ca Canada,19,52.0,3.0,1897,155,516,945,450,58,1896,31,82,37.8,52,30,1296,83
cr Costa Rica,22,31.3,3.0,1446,248,693,597,172,19,1446,17,37,45.9,43,31,816,37
hr Croatia,21,54.3,7.7,5308,507,1542,2708,1118,152,5308,40,99,40.4,106,70,3741,232
dk Denmark,20,60.0,3.0,2270,164,585,1166,534,70,2270,10,47,21.3,50,25,1579,131
ec Ecuador,18,53.3,3.0,1766,118,575,883,322,49,1765,13,43,30.2,65,25,1147,51
eng England,20,62.8,5.0,3642,231,1006,1894,775,116,3640,36,78,46.2,59,29,2743,185
fr France,24,51.3,7.3,4754,397,1276,2395,1136,173,4752,69,149,46.3,97,69,3249,185
de Germany,20,59.3,3.0,2319,174,586,1036,715,127,2318,31,64,48.4,44,41,1672,130
gh Ghana,20,42.0,3.0,1623,214,631,668,343,40,1622,27,57,47.4,46,34,966,61
ir IR Iran,21,36.7,3.0,1438,179,553,595,311,45,1437,11,34,32.4,38,19,762,56
jp Japan,22,35.8,4.3,2240,269,777,1027,454,66,2240,18,49,36.7,60,36,1312,78
kr Korea Republic,21,48.3,4.0,2420,233,720,1029,682,77,2420,13,54,24.1,47,26,1602,108
mx Mexico,21,54.0,3.0,1777,133,499,890,400,51,1777,19,43,44.2,50,30,1086,76
ma Morocco,25,39.0,7.3,3721,486,1558,1567,626,92,3721,50,126,39.7,126,53,2247,113
nl Netherlands,21,53.0,5.3,3535,341,1068,1797,690,77,3535,19,61,31.1,73,44,2449,148
pl Poland,21,37.3,4.0,1972,290,716,904,370,58,1970,17,50,34.0,57,30,1156,49
pt Portugal,24,60.4,5.0,3583,267,977,1728,898,105,3581,25,61,41.0,71,30,2610,164
qa Qatar,20,43.0,3.0,1669,180,583,840,256,25,1669,16,42,38.1,44,22,1127,49
sa Saudi Arabia,23,44.7,3.0,1570,187,493,676,422,66,1569,12,42,28.6,60,24,859,72
sn Senegal,20,44.8,4.0,2105,235,704,891,534,68,2104,26,59,44.1,60,45,1297,81
rs Serbia,22,51.3,3.0,1835,199,584,870,398,57,1835,9,28,32.1,49,22,1171,72
es Spain,21,75.8,4.3,4324,223,790,2602,950,92,4323,24,80,30.0,70,41,3512,174
ch Switzerland,24,49.0,4.0,2430,277,856,1105,491,55,2430,8,37,21.6,55,43,1653,116
tn Tunisia,21,44.3,3.0,1740,193,657,752,347,59,1740,19,46,41.3,52,49,987,88
us United States,20,53.0,4.0,2676,227,735,1263,703,93,2676,27,66,40.9,75,45,1793,119
uy Uruguay,19,48.7,3.0,1848,154,573,894,396,51,1848,9,34,26.5,51,27,1147,85
wls Wales,18,46.7,3.0,1701,210,625,759,321,39,1700,9,36,25.0,45,21,1030,65
