PLAYER,MINS PLAYED,SHOTS,SOT,GOALS,XG,CHANCES CREATED,ASSISTS,XA,PASSES,PASS %,TACKLES WON,INT,REC,SHOT-ENDING,GOAL-ENDING,CHANCE-CREATING,ASSIST,TOTAL,ATTEMPTS,WIN %
AARON MOOY,360,1,0,0,0.05,0,0,0.07,204,81,6,3,35,0,0,0,0,0,4,50
AARON RAMSEY,267,1,0,0,0.04,1,0,0.06,98,80,0,0,19,0,0,1,0,1,8,25
ABDELHAMID SABIRI,178,3,0,0,0.16,2,0,0.01,55,76,1,5,7,0,0,0,0,0,3,0
ABDELKARIM HASSAN,270,6,0,0,0.30,1,0,0.05,142,77,3,1,11,2,0,0,0,2,5,20
ABDERRAZAK HAMDALLAH,64,2,2,0,0.39,0,0,0.02,14,50,0,0,4,0,0,0,0,0,3,66
ABDESSAMAD EZZALZOULI,91,1,0,0,0.06,2,0,0.38,11,82,2,0,4,0,0,1,0,1,3,33
ABDOU DIALLO,332,1,0,0,0.03,1,0,0.05,162,78,2,1,17,0,0,0,0,0,1,0
ABDUL RAHMAN BABA,182,0,0,0,0.00,3,0,0.08,67,69,3,1,6,0,0,0,0,0,5,20
ABDULAZIZ HATEM,196,1,1,0,0.02,0,0,0.02,84,80,1,1,4,1,0,0,0,1,1,100
ABDULELAH AL AMRI,182,1,0,0,0.07,0,0,0.03,98,72,0,4,15,0,0,0,0,0,0,0
ABDULELAH AL MALKI,175,2,0,0,0.12,0,0,0.03,77,78,1,2,9,0,0,0,0,0,0,0
ABDULLAH MADU,45,0,0,0,0.00,0,0,0.00,12,42,0,0,2,0,0,0,0,0,0,0
ABDULRAHMAN AL OBUD,33,1,0,0,0.07,1,0,0.02,11,73,3,0,1,0,0,0,0,0,4,0
ABOLFAZL JALALI,18,0,0,0,0.00,0,0,0.00,19,68,0,0,3,0,0,0,0,0,5,20
ACHRAF DARI,187,1,1,1,0.63,0,0,0.01,107,89,0,5,10,0,0,0,0,0,0,0
ACHRAF HAKIMI,633,4,1,0,0.12,6,1,0.59,296,83,17,9,46,1,0,1,0,2,15,13
ADRIEN RABIOT,483,9,4,1,1.04,3,1,0.50,270,85,9,10,30,0,0,1,1,2,5,40
AGUSTÍN CANOBBIO,10,0,0,0,0.00,0,0,0.00,7,71,1,0,2,0,0,0,0,0,1,0
AHMAD NOOROLLAHI,226,5,1,0,0.10,0,0,0.01,49,69,3,6,15,0,0,0,0,0,3,33
AHMED ALAA,5,0,0,0,0.00,0,0,0.00,2,0,0,0,0,0,0,0,0,0,0,0
AJDIN HRUSTIC,59,1,0,0,0.03,0,0,0.01,18,83,0,1,3,0,0,0,0,0,5,20
AKRAM AFIF,270,2,0,0,0.04,4,0,0.18,138,89,0,0,14,1,0,1,0,2,7,42
ALAN FRANCO,46,0,0,0,0.00,0,0,0.00,11,91,0,2,1,0,0,0,0,0,0,0
ALEKSANDAR MITROVIC,263,10,3,2,1.65,2,0,0.06,56,77,0,0,6,1,0,0,0,1,1,100
ALEX SANDRO,191,1,0,0,0.03,1,0,0.22,140,91,3,3,16,1,0,0,0,1,2,50
ALEX TELLES,58,0,0,0,0.00,0,0,0.01,35,83,2,0,1,0,0,0,0,0,0,0
ALEXANDER BAH,46,2,0,0,0.06,1,0,0.07,42,74,4,2,3,0,0,1,0,1,3,0
ALEXANDER DJIKU,96,0,0,0,0.00,0,0,0.00,27,78,1,2,3,0,0,0,0,0,0,0
ALEXIS MAC ALLISTER,555,7,4,1,0.69,8,1,0.59,263,89,4,3,40,0,0,2,0,2,9,44
ALEXIS VEGA,195,9,2,0,0.83,0,0,0.02,48,75,0,1,16,2,0,0,0,2,5,20
ALI ABDI,187,0,0,0,0.00,0,0,0.05,83,61,5,4,17,0,0,0,0,0,4,25
ALI AL BULAYHI,217,0,0,0,0.00,0,0,0.01,87,80,2,3,5,0,0,0,0,0,0,0
ALI AL HASSAN,45,1,0,0,0.07,0,0,0.00,5,80,1,0,1,0,0,0,0,0,0,0
ALI ASAD,26,0,0,0,0.00,0,0,0.01,23,91,0,0,1,0,0,0,0,0,1,100
ALI GHOLIZADEH,199,1,0,0,0.03,2,1,0.67,64,66,0,3,21,0,0,2,1,3,9,44
ALI KARIMI,97,0,0,0,0.00,0,0,0.02,42,79,3,3,6,0,0,0,0,0,0,0
ALI MAÂLOUL,90,0,0,0,0.00,0,0,0.12,37,73,1,0,5,0,0,0,0,0,0,0
ALIDU SEIDU,156,1,0,0,0.01,0,0,0.02,56,82,4,0,6,0,0,0,0,0,6,66
ALIREZA JAHANBAKHSH,58,3,0,0,0.19,0,0,0.01,14,71,1,1,1,2,0,0,0,2,1,100
ALISTAIR JOHNSTON,270,2,1,0,0.80,3,0,0.11,137,82,3,2,16,0,0,2,0,2,1,100
ALMOEZ ALI,226,3,1,0,0.36,0,0,0.01,42,71,0,1,6,1,0,0,0,1,3,0
ALPHONSO DAVIES,270,5,1,1,0.28,6,0,0.20,81,78,1,3,14,0,0,3,0,3,25,44
AMADOU ONANA,105,2,0,0,0.47,0,0,0.02,63,92,1,0,7,0,0,0,0,0,1,100
ANDREAS CHRISTENSEN,270,2,1,1,0.36,0,0,0.04,249,94,2,4,20,0,0,0,0,0,0,0
ANDREAS CORNELIUS,90,5,2,0,1.02,3,0,0.04,32,63,0,0,2,0,0,0,0,0,1,100
ANDREAS SKOV OLSEN,134,4,1,0,0.23,0,0,0.05,54,70,0,1,3,1,0,0,0,1,2,0
ANDREJ KRAMARIC,481,10,4,2,1.64,4,0,0.32,161,88,2,0,18,3,1,1,0,5,10,40
ANDRIJA ZIVKOVIC,213,1,0,0,0.06,4,2,0.82,70,83,3,3,11,1,0,2,1,4,1,0
ANDRÉ AYEW,200,3,1,1,0.36,0,0,0.01,30,77,1,0,6,0,0,0,0,0,2,0
ANDRÉ SILVA,25,0,0,0,0.00,2,0,0.01,10,80,0,0,0,0,0,1,0,1,1,0
ANDRÉ-FRANK ZAMBO ANGUISSA,261,1,1,0,0.06,0,0,0.08,125,88,0,5,16,0,0,0,0,0,5,80
ANDRÉS GUARDADO,42,0,0,0,0.00,0,0,0.00,14,64,2,0,5,0,0,0,0,0,0,0
ANGELO PRECIADO,265,4,0,0,0.07,4,1,0.24,90,77,5,6,10,0,0,0,0,0,4,0
ANIS BEN SLIMANE,150,1,1,0,0.11,0,0,0.02,35,71,1,1,5,0,0,0,0,0,1,0
ANSU FATI,44,0,0,0,0.00,0,0,0.05,27,89,1,0,1,0,0,0,0,0,2,0
ANTE BUDIMIR,53,1,0,0,0.18,1,0,0.01,5,40,1,0,0,0,0,0,0,0,0,0
ANTHONY CONTRERAS,127,0,0,0,0.00,1,0,0.02,22,55,2,1,4,0,0,0,0,0,0,0
ANTOINE GRIEZMANN,537,6,3,0,0.67,9,2,2.17,266,84,8,8,34,3,0,4,0,7,10,40
ANTOINE SEMENYO,19,1,0,0,0.05,0,0,0.00,2,50,0,0,0,0,0,0,0,0,0,0
ANTONEE ROBINSON,359,0,0,0,0.00,3,0,0.23,184,80,4,7,40,0,0,1,0,1,5,80
ANTONIO RÜDIGER,270,6,1,0,0.76,0,0,0.05,242,92,1,0,20,1,0,0,0,1,1,0
ANTONY,170,6,2,0,0.23,2,0,0.20,95,86,0,1,12,2,0,1,0,3,16,25
ANTÓNIO SILVA,90,0,0,0,0.00,0,0,0.00,60,97,1,1,4,0,0,0,0,0,0,0
AO TANAKA,173,1,1,1,0.96,1,0,0.38,64,69,1,3,9,0,0,0,0,0,1,0
ARDON JASHARI,1,0,0,0,0.00,0,0,0.00,6,83,0,0,1,0,0,0,0,0,1,0
ARKADIUSZ MILIK,100,1,0,0,0.25,1,0,0.01,29,66,0,0,3,0,0,0,0,0,1,100
ARTUR JEDRZEJCZYK,18,0,0,0,0.00,0,0,0.00,3,100,0,0,0,0,0,0,0,0,0,0
