TEAM,HIGH TURNOVERS,SHOT-ENDING HT,GOAL-ENDING HT,PRESSED SEQUENCES,BUILD UPS,BUILD UP GOALS,DIRECT ATTACKS,DIRECT ATTACK GOALS,TEN PLUS PASSES,START DISTANCE,PPDA
ARGENTINA,50,9,1,93,21,1,12,2,112,42.8,13.4
AUSTRALIA,34,2,0,54,1,0,2,1,21,41.4,19.5
BELGIUM,10,3,0,22,9,1,3,0,59,40.4,16.0
BRAZIL,45,9,0,80,17,0,9,0,91,44.7,11.7
CAMEROON,15,0,0,25,3,0,5,1,16,38.8,19.2
CANADA,29,2,0,50,6,1,6,0,33,43.4,14.6
COSTA RICA,13,1,1,17,3,0,1,0,16,34.5,28.6
CROATIA,59,10,1,109,16,1,6,0,112,41.1,14.7
DENMARK,17,1,0,51,10,0,1,0,53,43.2,15.3
ECUADOR,11,2,0,37,3,0,3,0,34,42.4,9.9
ENGLAND,47,4,1,85,15,3,4,1,99,46.3,10.4
FRANCE,49,5,1,83,18,1,13,1,99,41.7,16.5
GERMANY,39,9,1,67,17,0,8,0,55,49.7,11.9
GHANA,22,3,0,37,1,1,3,0,18,41.6,16.7
IR IRAN,13,1,0,38,1,0,5,1,11,37.6,17.2
JAPAN,28,3,1,40,4,0,2,0,33,40.6,19.0
KOREA REPUBLIC,36,5,1,65,11,0,4,1,50,43.4,16.3
MEXICO,27,1,0,41,1,0,2,0,16,44.2,9.3
MOROCCO,42,4,2,75,11,0,9,0,52,40.3,18.3
NETHERLANDS,37,7,2,71,7,1,5,0,71,42.3,10.9
POLAND,21,2,1,42,4,0,3,0,25,38.3,19.6
PORTUGAL,43,5,0,69,19,2,9,2,82,43.7,12.6
QATAR,15,2,0,16,5,0,3,0,30,39.1,25.3
SAUDI ARABIA,15,1,0,39,3,0,2,0,13,39.3,14.1
SENEGAL,21,8,0,44,3,0,4,0,27,42.4,20.2
SERBIA,22,5,1,37,6,0,2,0,31,41.0,11.6
SPAIN,40,3,0,66,23,3,2,0,135,47.3,10.1
SWITZERLAND,20,4,0,48,7,1,5,1,44,39.4,20.1
TUNISIA,15,1,0,42,2,0,3,0,16,39.8,14.7
USA,42,4,1,69,11,1,9,0,55,44.0,15.8
URUGUAY,27,3,0,41,2,1,6,0,27,42.4,12.5
WALES,20,2,0,33,2,0,3,0,19,39.9,15.7
