#,Player,Team,Age,Club,Market value
1,Kylian Mbappé,France,24,Paris Saint-Germain,€180.00m
2,Vinicius Junior,Brazil,22,Real Madrid,€120.00m
3,Phil Foden,England,22,Manchester City,€110.00m
4,Jude Bellingham,England,19,Borussia Dortmund,€110.00m
5,Federico Valverde,Uruguay,24,Real Madrid,€100.00m
6,Bukayo Saka,England,21,Arsenal FC,€100.00m
7,Pedri,Spain,20,FC Barcelona,€100.00m
8,Jamal Musiala,Germany,19,Bayern Munich,€100.00m
9,Aurélien Tchouameni,France,22,Real Madrid,€90.00m
10,Gavi,Spain,18,FC Barcelona,€90.00m
11,Harry Kane,England,29,Tottenham Hotspur,€90.00m
12,Rafael Leão,Portugal,23,AC Milan,€85.00m
13,Rodri,Spain,26,Manchester City,€80.00m
14,Joshua Kimmich,Germany,27,Bayern Munich,€80.00m
15,Declan Rice,England,24,West Ham United,€80.00m
16,Bernardo Silva,Portugal,28,Manchester City,€80.00m
17,Rodrygo,Brazil,22,Real Madrid,€80.00m
18,Dusan Vlahovic,Serbia,22,Juventus FC,€80.00m
19,Kevin De Bruyne,Belgium,31,Manchester City,€80.00m
20,Neymar,Brazil,30,Paris Saint-Germain,€75.00m
21,Bruno Fernandes,Portugal,28,Manchester United,€75.00m
22,Antony,Brazil,22,Manchester United,€75.00m
23,Josko Gvardiol,Croatia,20,RB Leipzig,€75.00m
24,Gabriel Jesus,Brazil,25,Arsenal FC,€75.00m
25,Rúben Dias,Portugal,25,Manchester City,€75.00m
26,Lautaro Martínez,Argentina,25,Inter Milan,€75.00m
27,Mason Mount,England,24,Chelsea FC,€75.00m
28,Heung-min Son,South Korea,30,Tottenham Hotspur,€70.00m
29,Kai Havertz,Germany,23,Chelsea FC,€70.00m
30,Jack Grealish,England,27,Manchester City,€70.00m
31,Raheem Sterling,England,28,Chelsea FC,€70.00m
32,Alphonso Davies,Canada,22,Bayern Munich,€70.00m
33,João Cancelo,Portugal,28,Manchester City,€70.00m
34,Matthijs de Ligt,Netherlands,23,Bayern Munich,€70.00m
35,Trent Alexander-Arnold,England,24,Liverpool FC,€70.00m
36,Leroy Sané,Germany,27,Bayern Munich,€70.00m
37,Darwin Núñez,Uruguay,23,Liverpool FC,€70.00m
38,Marquinhos,Brazil,28,Paris Saint-Germain,€70.00m
39,Achraf Hakimi,Morocco,24,Paris Saint-Germain,€70.00m
40,Leon Goretzka,Germany,27,Bayern Munich,€65.00m
41,Serge Gnabry,Germany,27,Bayern Munich,€65.00m
42,Theo Hernández,France,25,AC Milan,€60.00m
43,Éder Militão,Brazil,25,Real Madrid,€60.00m
44,Sergej Milinković-Savić,Serbia,27,SS Lazio,€60.00m
45,Gabriel Martinelli,Brazil,21,Arsenal FC,€60.00m
46,Cristian Romero,Argentina,24,Tottenham Hotspur,€60.00m
47,Dayot Upamecano,France,24,Bayern Munich,€60.00m
48,Kingsley Coman,France,26,Bayern Munich,€60.00m
49,Thibaut Courtois,Belgium,30,Real Madrid,€60.00m
50,Cody Gakpo,Netherlands,23,Liverpool FC,€60.00m
51,Ronald Araújo,Uruguay,23,FC Barcelona,€60.00m
52,Ousmane Dembélé,France,25,FC Barcelona,€60.00m
53,Jules Koundé,France,24,FC Barcelona,€60.00m
54,Bruno Guimarães,Brazil,25,Newcastle United,€60.00m
55,Fabinho,Brazil,29,Liverpool FC,€55.00m
56,Marcus Rashford,England,25,Manchester United,€55.00m
57,James Maddison,England,26,Leicester City,€55.00m
58,Enzo Fernández,Argentina,22,SL Benfica,€55.00m
59,Richarlison,Brazil,25,Tottenham Hotspur,€55.00m
60,Romelu Lukaku,Belgium,29,Inter Milan,€55.00m
61,Lisandro Martínez,Argentina,25,Manchester United,€50.00m
62,Lionel Messi,Argentina,35,Paris Saint-Germain,€50.00m
63,Raphinha,Brazil,26,FC Barcelona,€50.00m
